id,name,album,release_date,popularity,groovy_factor,raw_energy
40uqC6osBbNPm4jEN3OsAl,Respectable - Remastered,Some Girls,1978-06-09,42,0.3955,0.06386956785
1TJyjAa6rHkEZZpRS41rUp,Angie - 2020,Goats Head Soup (Deluxe),2020-09-04,42,0.175077,0.04882238293333334
3mP4j0qZkutkxDN4zgbtnA,Out Of Tears,Voodoo Lounge (Remastered 2009),1994-07-11,42,0.05315600000000001,0.056157498
7w2s5Wj0LPNhUkVCt8av09,Just My Imagination (Running Away With Me) - Remastered,Some Girls,1978-06-09,42,0.357984,0.27654456600000005
2u63axjx9VKmFfQNqmpi8a,Let It Loose,Exile On Main Street (2010 Re-Mastered),1972-05-12,42,0.127776,0.1311525384
05BcisbhFsmVpTZ0kGD7gK,Loving Cup,Exile On Main Street (2010 Re-Mastered),1972-05-12,42,0.297672,0.5897115737
58TvHfaC4Hvf8IfkxT9BFq,100 Years Ago - Remastered,Goats Head Soup (Remastered 2009),1973-08-31,42,0.255216,0.4773964808666667
2kNr8K2GKAmzJHNWO7iJUF,Just Your Fool,Blue & Lonesome,2016-12-02,42,0.46057400000000004,0.3279874192
6ttUD7vz01HOy3hm9Kq3t5,Beast Of Burden,Honk (Deluxe),2019-04-19,42,0.704462,0.04025518205333334
4GNEqWXhKEoMyL3k5wF0r7,Love In Vain,Let It Bleed,1969-12-05,42,0.10944499999999999,0.04492063266666667
2pbHaKsIRuIqjZHCLpyQMv,You Got The Silver,Let It Bleed,1969-12-05,42,0.255753,0.04140452131666667
4N8oxV3hvn8Efyo4yxp3LG,Undercover (Of The Night) - Remastered 2009,Undercover (2009 Re-Mastered),1983-11-07,42,0.24602399999999996,0.4251638962666666
0C7w4XnkIGu11MpNWbiTLB,Not Fade Away - Mono Version,England’s Newest Hitmakers,1964-05-30,41,0.672,0.10533185039999998
5SiCTf5r1cVjQXAXB2StpS,Torn And Frayed,Exile On Main Street (2010 Re-Mastered),1972-05-12,41,0.352304,0.42571690919999994
