id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
22OTrlQy1sXdtdo1VgDUZb,0.689,0.654,0.542,0.584,0.204,-14.696,0.0419,78.015,0.877
3JZllQBsTM6WwoJdzFDLhx,0.0576,0.509,0.706,1.69e-06,0.516,-9.427,0.0843,122.015,0.446
7oLIJvY8IUSmjfXdUvn3ru,0.149,0.581,0.577,0.0263,0.103,-11.375,0.0275,94.827,0.569
25aTcw734DDdb78Av3xz4B,0.724,0.497,0.649,1.11e-05,0.287,-10.091,0.0702,129.845,0.527
0l49BLiXUhHD2A92ONuQ7k,0.516,0.544,0.812,0.0031,0.11,-11.191,0.0592,123.269,0.783
4VeenLChnVtXj5ZXPfGUZh,0.0951,0.339,0.296,0.00482,0.121,-12.079,0.119,191.566,0.224
0SpNlEAUqNsuij5xi7Z7cQ,0.152,0.511,0.892,0.262,0.638,-4.701,0.0588,108.959,0.869
47eWF81LJRr4jW3lO1FuYJ,0.679,0.589,0.567,0.175,0.335,-7.774,0.0342,110.531,0.731
6DjtOcS3xQO8LETk8O4qgE,0.5,0.615,0.91,0.511,0.281,-4.248,0.0347,111.013,0.77
1ibeJPfM8Q3LccjV6oI6S1,0.219,0.633,0.934,0.00021,0.0592,-3.594,0.0344,128.606,0.963
657o30OsXhfnfi3IoWHprm,0.686,0.588,0.906,0.0973,0.425,-4.613,0.0441,128.641,0.889
7EavTa2ie6Ynz7tX8uTeTt,0.632,0.657,0.517,0.00139,0.241,-7.25,0.0417,81.915,0.574
28AMofKZekNPVodD2ULKwD,0.0486,0.507,0.973,0.000356,0.351,-4.395,0.0374,142.408,0.867
1XYnzNHGG50lDNHVotRkyX,0.00622,0.61,0.761,0.0318,0.0706,-9.217,0.0407,124.48,0.725
0UeKMKb98sqhKhbKYdCxf4,0.0935,0.747,0.454,0.219,0.118,-10.758,0.0327,98.995,0.909
5q4rnVIJ1odRyF2JJLIlS5,0.198,0.467,0.795,0.0,0.932,-4.69,0.0334,79.819,0.405
4B9Mt7tJXONfDEQkMWv3Fa,0.0337,0.29,0.979,0.00367,0.956,-2.83,0.0634,142.111,0.53
79v8Rj7F66Iz3n6GGdSWyB,0.271,0.386,0.976,0.00143,0.717,-2.631,0.0717,119.666,0.235
2JDgTnSv5JU4brzsNtITi8,0.644,0.703,0.492,0.0,0.265,-10.085,0.0349,119.034,0.593
5uAiJO2YixjY3LtkIK3FUJ,0.456,0.317,0.607,5.36e-05,0.288,-11.862,0.0647,185.991,0.747
1g7NuHCYVpOhRSCL6ujZOG,0.697,0.341,0.833,0.0674,0.355,-3.986,0.0551,57.772,0.594
5d48Ugz3zU2qfKdgKk4tL5,0.226,0.328,0.711,0.0172,0.0669,-5.037,0.0455,182.5,0.17
43SkTJJ2xleDaeiE4TIM70,0.383,0.727,0.934,0.0685,0.0965,-8.373,0.0359,125.275,0.969
5tSTWhMTSGAvbJsyUP79kf,0.0148,0.592,0.909,0.177,0.0571,-5.887,0.0512,116.439,0.479
2aVmwPRiY1DQMPpudL6wuF,0.0677,0.5,0.519,0.0759,0.223,-13.094,0.0531,130.685,0.472
