name,album,release_date,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,flagged_for_differences,outlier_feature
Turd On The Run,Exile On Main Street (Deluxe Version),1972-05-12,3aZyQJSjtrzPXi670Dp7dN,0.65,0.517,0.781,0.977,0.341,-6.33,0.0405,119.364,0.742,27,157173,False,instrumentalness
Slave,Tattoo You,1981-08-24,0QtFb4SXJ8yOds90DBTDwM,0.163,0.562,0.814,0.482,0.0467,-9.087,0.0396,133.219,0.863,27,392360,False,instrumentalness
Jumpin’ Jack Flash - Live At The El Mocambo 1977,Live At The El Mocambo,2022-05-13,70ntdSs0g1wIP7xbpTWSds,0.007,0.219,0.915,0.652,0.975,-6.613,0.104,151.344,0.64,27,326386,False,instrumentalness
Stop Breaking Down,Exile On Main Street (Deluxe Version),1972-05-12,30t7Yif8FyeCANkW2Beii3,0.509,0.522,0.891,0.908,0.111,-4.085,0.0322,104.411,0.91,27,274773,False,instrumentalness
Where The Boys Go - Remastered,Emotional Rescue (2009 Re-Mastered),1980-06-20,3SlME8VLYeouyCAKPaTB41,0.266,0.49,0.993,0.583,0.786,-3.498,0.136,160.399,0.821,27,209373,False,instrumentalness
Pain In My Heart,The Rolling Stones No. 2,1965-01-15,2Ha8g7bpI5Ii6bjFBw5Tjd,0.625,0.458,0.567,0.758,0.137,-8.933,0.038,178.312,0.778,26,131560,False,instrumentalness
Carol - Live,Get Yer Ya-Ya's Out! (Remastered),1970-09-04,4srExQl2wIuj7VjNpxKALZ,0.248,0.606,0.894,0.604,0.989,-7.712,0.0396,138.056,0.911,26,226480,False,instrumentalness
Heartbreaker - Instrumental,Goats Head Soup (Deluxe),2020-09-04,4eADFeuWdtyGqih4h98NVj,0.447,0.363,0.759,0.888,0.153,-8.022,0.0297,105.236,0.105,26,197626,False,instrumentalness
Little T&A,Tattoo You,1981-08-24,5CMj0ulCvVnYm9S8vS8HSG,0.266,0.534,0.801,0.62,0.398,-9.152,0.0271,136.241,0.866,26,203333,False,instrumentalness
I Just Want To See His Face,Exile On Main Street (Deluxe Version),1972-05-12,2s9SV3uTSdEf2Z3pSfou6d,0.689,0.654,0.542,0.584,0.204,-14.696,0.0419,78.015,0.877,26,172626,False,instrumentalness
